name,id,price,type,date
Bánh que cam Stck Biscuit,B034,7000,MOMO,2023-06-06 11:47:37.341000
Sting dâu lon,N000034,15000,VNPAY,2023-06-06 11:25:14.150000
Sữa đậu nành Fami nguyên chất 200ml,SD0011,6000,VNPAY,2023-06-06 10:06:35.590000
Sữa đậu nành vị đậu đỏ,SD0016,7000,VNPAY,2023-06-06 10:05:12.780000
Nescafe Cafe sữa đá 200ml,N027,15000,VNPAY,2023-06-06 09:05:13.752000
Nutri Boost dâu sữa yến mạch 297ml,N021,15000,VNPAY,2023-06-06 09:03:44.905000
Sữa đậu nành Fami nguyên chất 200ml,SD0011,6000,MOMO,2023-06-06 01:23:25.279000
Bánh trứng sữa mềm Belgi vị truyền thống,B040,5000,CASH_AT_MACHINE,2023-06-05 17:13:49.480000
Kẹo cao su Extra vị bạc hà,B042,7000,MOMO,2023-06-05 16:32:20.345000
Kẹo cao su Cool Air,B0057,6000,MOMO,2023-06-05 16:31:46.598000
Sữa đậu nành Fami nguyên chất 200ml,SD0011,6000,CASH_AT_MACHINE,2023-06-05 16:16:35.626000
Sữa đậu nành Fami nguyên chất 200ml,SD0011,6000,MOMO,2023-06-05 12:35:22.088000
Sting dâu lon,N000034,15000,VNPAY,2023-06-05 11:37:27.022000
Sting dâu lon,N000034,15000,CASH_AT_MACHINE,2023-06-05 10:33:43.874000
Trà sữa TeaBreak,N109,15000,VNPAY,2023-06-05 10:17:34.784000
Sting dâu lon,N000034,15000,MOMO,2023-06-05 09:50:24.808000
Nước tăng lực Sting vàng lon 320ml,N010,15000,MOMO,2023-06-05 08:01:29.704000
Milo 180ml sữa hộp,N018,10000,MOMO,2023-06-05 07:26:54.930000
Nước tăng lực Sting vàng lon 320ml,N010,15000,MOMO,2023-06-04 22:41:06.637000
